"time","riedon.riedon_current_mA","bms.pack_highest_temp_C","bms.pack_voltage_V","riedon.riedon_couloumb_count"
2025-07-03 14:07:27,-184.333333333333,28.3600006103516,137.914398193359,-7
2025-07-03 14:07:27.5,-185.5,28.3600006103516,137.914001464844,-7
2025-07-03 14:07:28,-185,28.3600006103516,137.91340637207,-8
2025-07-03 14:07:28.5,-188,28.3600006103516,137.913299560547,-8
2025-07-03 14:07:29,-184.8,28.3600006103516,137.913192749023,-8
2025-07-03 14:07:29.5,-184.333333333333,28.3600006103516,137.912506103516,-8
2025-07-03 14:07:30,-184,28.3799991607666,137.912994384766,-8
2025-07-03 14:07:30.5,-185,28.3799991607666,137.913299560547,-8
2025-07-03 14:07:31,-185,NA,NA,NA
2025-07-03 14:07:31.5,-186,28.3799991607666,137.912994384766,-8
2025-07-03 14:07:32,-187.5,28.3799991607666,137.913696289062,-8
2025-07-03 14:07:32.5,-187,28.3799991607666,137.912796020508,-9
2025-07-03 14:07:33,-185,NA,NA,NA
2025-07-03 14:07:33.5,-185,28.3799991607666,137.912292480469,-9
2025-07-03 14:07:34,-186.333333333333,28.3799991607666,137.913192749023,-9
2025-07-03 14:07:34.5,-185,28.4099998474121,137.912902832031,-9
2025-07-03 14:07:35,-185.666666666667,28.4099998474121,137.91259765625,-9
2025-07-03 14:07:35.5,-187.5,28.4099998474121,137.912002563477,-9
2025-07-03 14:07:36,-186.5,NA,NA,NA
2025-07-03 14:07:36.5,-185.333333333333,28.4099998474121,137.913604736328,-9
2025-07-03 14:07:37,-185,28.4300003051758,137.912704467773,-9
2025-07-03 14:07:37.5,-186,28.4300003051758,137.911407470703,-9
2025-07-03 14:07:38,-187.5,28.4300003051758,137.914093017578,-9
2025-07-03 14:07:38.5,-185,28.4300003051758,137.911499023438,-10
2025-07-03 14:07:39,-186,28.4500007629395,137.911407470703,-10
2025-07-03 14:07:39.5,-186.5,28.4500007629395,137.912399291992,-10
2025-07-03 14:07:40,-187,NA,NA,NA
2025-07-03 14:07:40.5,-188.5,28.4500007629395,137.911697387695,-10
2025-07-03 14:07:41,-185,28.4500007629395,137.911407470703,-10
2025-07-03 14:07:41.5,-186,28.4500007629395,137.911499023438,-10
2025-07-03 14:07:42,-185,28.4699993133545,137.912796020508,-10
2025-07-03 14:07:42.5,-185.25,28.4699993133545,137.91145324707,-10
2025-07-03 14:07:43,-185.333333333333,NA,NA,NA
2025-07-03 14:07:43.5,-186.5,28.4699993133545,137.911193847656,-10
2025-07-03 14:07:44,-182.666666666667,28.4899997711182,137.912399291992,-11
2025-07-03 14:07:44.5,-184.666666666667,NA,NA,NA
2025-07-03 14:07:45,-186.5,28.4899997711182,137.911697387695,-11
2025-07-03 14:07:45.5,-185,28.4899997711182,137.913101196289,-11
2025-07-03 14:07:46,-184.5,28.4899997711182,137.91130065918,-11
2025-07-03 14:07:46.5,-187,NA,NA,NA
2025-07-03 14:07:47,-183.75,28.4899997711182,137.912399291992,-11
2025-07-03 14:07:47.5,-186.666666666667,NA,NA,NA
2025-07-03 14:07:48,-186.75,28.4899997711182,137.910598754883,-11
2025-07-03 14:07:48.5,-186,28.5200004577637,137.910797119141,-11
2025-07-03 14:07:49,-188.333333333333,28.5200004577637,137.911193847656,-12
2025-07-03 14:07:49.5,-185,NA,NA,NA
2025-07-03 14:07:50,-185.333333333333,28.5200004577637,137.912094116211,-12
2025-07-03 14:07:50.5,-185,28.5200004577637,137.911102294922,-12
2025-07-03 14:07:51,-183.5,28.5200004577637,137.910995483398,-12
2025-07-03 14:07:51.5,-187.5,28.5200004577637,137.910598754883,-12
2025-07-03 14:07:52,-186,28.5200004577637,137.910095214844,-12
2025-07-03 14:07:52.5,-185,28.5200004577637,137.910202026367,-12
2025-07-03 14:07:53,-186.25,28.5200004577637,137.911102294922,-12
2025-07-03 14:07:53.5,-182,28.5200004577637,137.910652160645,-12
2025-07-03 14:07:54,-186.666666666667,28.5200004577637,137.910293579102,-13
2025-07-03 14:07:54.5,-185.5,NA,NA,-13
2025-07-03 14:07:55,-187.666666666667,28.5200004577637,137.909805297852,NA
2025-07-03 14:07:55.5,-184.5,28.5200004577637,137.911697387695,-13
