Timestamp,Current_A,Voltage_V,SOC_EKF_%,SOC_CC_%,SOC_ECM_OCV_%
2025-11-22 13:17:06.000,-0.07248399999999999,138.7517,99.85887610742964,99.85891600001528,99.85887610726527
2025-11-22 13:17:06.499,-0.07248399999999999,138.7525,99.85894931251556,99.85893992165285,99.85896368626625
2025-11-22 13:17:07.000,-0.07248399999999999,138.7527,99.85897457057452,99.85896393916873,99.85897495788024
2025-11-22 13:17:07.499,-0.07248399999999999,138.7534,99.85903857784292,99.8589878608063,99.85905114079641
2025-11-22 13:17:07.998,-0.07248399999999999,138.7535,99.85905370161457,99.85901178244386,99.85905094361732
2025-11-22 13:17:08.500,-0.07248399999999999,138.7535,99.85904790172756,99.85903584789888,99.85903853885215
2025-11-22 13:17:08.999,-0.07248399999999999,138.7537,99.85905705319632,99.85905976953646,99.85905242250283
2025-11-22 13:17:09.498,-0.07248399999999999,138.7529,99.85897249039594,99.85908369117402,99.8589384773985
2025-11-22 13:17:10.000,-0.07248399999999999,138.7541,99.85906151910378,99.85910775662904,99.85908188767255
2025-11-22 13:17:10.499,-0.07248399999999999,138.7534,99.8590065878043,99.8591316782666,99.85898186347838
2025-11-22 13:17:10.998,-0.07248399999999999,138.7532,99.85896657759693,99.85915559990417,99.85894653119932
2025-11-22 13:17:11.498,-0.07248399999999999,138.7541,99.85903802192647,99.8591795694809,99.85905290844484
2025-11-22 13:17:11.998,-0.07248399999999999,138.7537,99.85900933594493,99.85920353905762,99.85899282450723
2025-11-22 13:17:12.498,-0.07248399999999999,138.7541,99.85903526487886,99.85922750863433,99.85903587929631
2025-11-22 13:17:13.000,-0.07248399999999999,138.7543,99.85905501587851,99.85925157408936,99.85905366292059
2025-11-22 13:17:13.499,-0.07248399999999999,138.755,99.85912239773215,99.85927549572693,99.85913602653724
2025-11-22 13:17:13.999,-0.07248399999999999,138.7545,99.85908419112758,99.85929946530365,99.85906469282506
2025-11-22 13:17:14.502,-0.07248399999999999,138.7549,99.85910902811547,99.85932357869783,99.85910925503597
2025-11-22 13:17:14.999,-0.07248399999999999,138.7533,99.85895359707683,99.85934740445708,99.85889738104171
2025-11-22 13:17:15.498,-0.07248399999999999,138.7547,99.85904866253321,99.85937132609465,99.85907097393354
2025-11-22 13:17:16.002,-0.07248399999999999,138.7551,99.85910606106867,99.85939548742799,99.85911648469195
2025-11-22 13:17:16.499,-0.07248399999999999,138.7547,99.85907636188927,99.85941931318725,99.85905957560463
2025-11-22 13:17:16.999,-0.07248399999999999,138.7552,99.85911414813779,99.85944328276396,99.85911848130658
2025-11-22 13:17:17.502,-0.07248399999999999,138.755,99.85909983157917,99.85946739615814,99.85908777912704
2025-11-22 13:17:17.999,-0.07248399999999999,138.7555,99.85914157062112,99.85949122191741,99.8591471886481
2025-11-22 13:17:18.499,-0.07248399999999999,138.7554,99.85913833613552,99.85951519149413,99.85912980424676
2025-11-22 13:17:19.002,-0.07248399999999999,138.756,99.85919294354481,99.8595393048883,99.85920250730223
2025-11-22 13:17:19.499,-0.07248399999999999,138.756,99.85920278153966,99.85956313064756,99.85919839457107
2025-11-22 13:17:19.999,-0.07248399999999999,138.7563,99.8592315054676,99.85958710022429,99.85923299657712
2025-11-22 13:17:20.501,-0.07248399999999999,138.7556,99.85916714574391,99.85961116567931,99.85913941279269
2025-11-22 13:17:20.999,-0.07248399999999999,138.756,99.85918813188644,99.85963503937772,99.85918722625347
2025-11-22 13:17:21.498,-0.07248399999999999,138.7561,99.85920036480967,99.85965896101528,99.85919669882962
2025-11-22 13:17:22.002,-0.07248399999999999,138.7571,99.85929863214118,99.85968312234863,99.85932187438716
2025-11-22 13:17:22.499,-0.07248399999999999,138.7566,99.85927083321329,99.85970694810788,99.85925464185017
2025-11-22 13:17:22.999,-0.07248399999999999,138.7569,99.85929134481063,99.8597309176846,99.8592902602608
2025-11-22 13:17:23.502,-0.07248399999999999,138.7564,99.85924531801848,99.85975503107878,99.85922331941836
2025-11-22 13:17:23.999,-0.07248399999999999,138.7569,99.85928112984972,99.85977885683803,99.85928488914064
2025-11-22 13:17:24.499,-0.07248399999999999,138.7566,99.85925850094559,99.85980282641476,99.8592438858504
2025-11-22 13:17:25.002,-0.07248399999999999,138.7573,99.85931973682241,99.85982693980894,99.85933137989645
2025-11-22 13:17:25.499,-0.07248399999999999,138.7572,99.85932280066704,99.8598507655682,99.85931628890188
2025-11-22 13:17:25.999,-0.07248399999999999,138.757,99.85930239080261,99.85987473514491,99.85928847161857
2025-11-22 13:17:26.502,-0.07248399999999999,138.7566,99.85925691167475,99.8598988485391,99.85923508462271
2025-11-22 13:17:26.998,-0.07248399999999999,138.7563,99.85921518111786,99.85992262635921,99.85919463499626
2025-11-22 13:17:27.498,-0.07248399999999999,138.7573,99.85930158442088,99.85994659593592,99.85932116622618
2025-11-22 13:17:28.002,-0.07248399999999999,138.7575,99.85934046868665,99.85997075726925,99.85934508641316
2025-11-22 13:17:28.498,-0.07248399999999999,138.7569,99.8592897571684,99.85999453508936,99.85926639418084
2025-11-22 13:17:28.999,-0.07248399999999999,138.7577,99.85935467896655,99.86001855260524,99.85936750827886
2025-11-22 13:17:29.498,-0.07248399999999999,138.7571,99.85931037364773,99.8600424742428,99.85928897477456
2025-11-22 13:17:29.999,-0.07248399999999999,138.7576,99.85934758864609,99.86006649175867,99.85935172794014
2025-11-22 13:17:30.499,-0.07248399999999999,138.7575,99.85934565122434,99.86009046133539,99.85933752567867
2025-11-22 13:17:31.002,-0.07248399999999999,138.7576,99.85935400764113,99.86011457472958,99.85934906557476
