Timestamp,Current_A,Voltage_V,SOC_EKF_%,SOC_CC_%
2025-07-03 14:06:50.000,0.1105,137.932197570801,88.15271820552732,88.15094064723425
2025-07-03 14:06:51.000,0.182666666666667,137.933502197266,88.20780344530196,88.15081983594676
2025-07-03 14:06:51.500,0.242,137.916397094727,88.04882565042898,88.15073980949174
2025-07-03 14:06:52.500,0.560666666666667,137.910400390625,88.33388401201933,88.15036899820426
2025-07-03 14:06:53.500,0.286,137.89860534668,87.85275903525789,88.1501798447651
2025-07-03 14:06:54.000,0.2505,137.910903930664,88.31710869341299,88.15009700746353
2025-07-03 14:06:54.500,0.2025,137.917495727539,87.98970372241477,88.15003004317781
2025-07-03 14:06:55.000,0.18025,137.91960144043,88.22862097442909,88.14997043669632
2025-07-03 14:06:55.500,0.1755,137.920104980469,88.06949676120804,88.14991240098205
2025-07-03 14:06:56.500,0.185,137.918106079102,88.16364225425465,88.14979004648468
2025-07-03 14:06:57.000,0.1834,137.91934967041,88.11465337336132,88.14972939833653
2025-07-03 14:06:57.500,0.18325,137.919692993164,88.14636056344617,88.14966879979157
2025-07-03 14:06:58.000,0.18,137.918701171875,88.12163783477264,88.14960927598204
2025-07-03 14:06:58.500,0.182,137.918899536133,88.13787406477036,88.14954909079685
2025-07-03 14:06:59.000,0.179,137.918792724609,88.12825170758767,88.14948989767517
2025-07-03 14:06:59.500,0.18,137.918395996094,88.13171158932829,88.14943037386564
2025-07-03 14:07:00.000,0.178666666666667,137.919204711914,88.13509896583471,88.14937129097322
2025-07-03 14:07:00.500,0.180333333333333,137.918502807617,88.13060799591976,88.14931165693442
2025-07-03 14:07:01.000,0.18,137.919692993164,88.14022498020735,88.1492521331249
2025-07-03 14:07:01.500,0.178333333333333,137.918106079102,88.12646184640155,88.14919316046176
2025-07-03 14:07:02.000,0.178333333333333,137.917694091797,88.13029676888885,88.14913418779862
2025-07-03 14:07:02.500,0.18,137.918395996094,88.13402387424331,88.1490746639891
2025-07-03 14:07:03.500,0.1795,137.918251037598,88.13200630286019,88.14895594705789
2025-07-03 14:07:04.000,0.179,137.917999267578,88.13153358708486,88.14889675393619
2025-07-03 14:07:04.500,0.180666666666667,137.91780090332,88.13166473293906,88.14883700966811
2025-07-03 14:07:05.000,0.1815,137.917999267578,88.133472525037,88.14877698982684
2025-07-03 14:07:05.500,0.1814,137.917297363281,88.12926991214209,88.14871700305436
2025-07-03 14:07:06.000,0.18275,137.917297363281,88.13156091873685,88.14865656985329
2025-07-03 14:07:06.500,0.181,137.916000366211,88.1233578273126,88.14859671535594
2025-07-03 14:07:07.000,0.181,137.917098999023,88.13219869935982,88.14853686085858
2025-07-03 14:07:07.500,0.182666666666667,137.916107177734,88.12514541955049,88.14847645521485
2025-07-03 14:07:08.000,0.184,137.916305541992,88.12904269438539,88.148415608654
2025-07-03 14:07:09.000,0.183666666666667,137.91650390625,88.12919841309127,88.14829413599087
2025-07-03 14:07:10.000,0.187,137.917098999023,88.13382375601952,88.14817045874219
2025-07-03 14:07:10.500,0.187,137.915893554688,88.12661214120314,88.14810862011784
2025-07-03 14:07:11.000,0.186,137.915603637695,88.12677039503112,88.14804711218133
2025-07-03 14:07:11.500,0.185,137.916000366211,88.12864676993902,88.14798593493266
2025-07-03 14:07:12.500,0.1875,137.916900634766,88.13396147506509,88.14786192699616
2025-07-03 14:07:13.000,0.187,137.916107177734,88.12885307258446,88.14780008837181
2025-07-03 14:07:13.500,0.184333333333333,137.915496826172,88.12609012315647,88.14773913158169
2025-07-03 14:07:14.000,0.1855,137.915946960449,88.12945408051438,88.1476777889891
2025-07-03 14:07:15.000,0.186,137.91455078125,88.12232690160509,88.14755477311608
2025-07-03 14:07:15.500,0.1845,137.915405273438,88.1273701995903,88.14749376121132
2025-07-03 14:07:16.000,0.185,137.91650390625,88.13218693436274,88.14743258396264
2025-07-03 14:07:16.500,0.183,137.91520690918,88.1246780253264,88.14737206808962
2025-07-03 14:07:17.500,0.186,137.915298461914,88.12734902771213,88.14724905221661
2025-07-03 14:07:18.000,0.185,137.915298461914,88.12678058351489,88.14718787496793
2025-07-03 14:07:19.500,0.187,137.914245605469,88.12273292965382,88.14700235909491
2025-07-03 14:07:20.500,0.1825,137.913604736328,88.11885204373243,88.14688165803672
2025-07-03 14:07:21.000,0.18775,137.914794921875,88.12655108073724,88.1468195713965
2025-07-03 14:07:21.500,0.186666666666667,137.91389465332,88.12146853946713,88.14675784300144
2025-07-03 14:07:22.000,0.1845,137.914306640625,88.12318143445064,88.14669683109668
2025-07-03 14:07:22.500,0.18425,137.914352416992,88.12325718844649,88.14663590186387
2025-07-03 14:07:23.000,0.184333333333333,137.913497924805,88.1195585149599,88.14657494507375
2025-07-03 14:07:24.000,0.184666666666667,137.914596557617,88.12480835387294,88.14645281103495
2025-07-03 14:07:24.500,0.184,137.914398193359,88.12353041647496,88.1463919644741
2025-07-03 14:07:25.000,0.186,137.914093017578,88.12294847481958,88.1463304565376
2025-07-03 14:07:25.500,0.1875,137.913803100586,88.12225907666874,88.14626845256934
2025-07-03 14:07:26.000,0.1845,137.914199829102,88.12313132491278,88.14620744066458
2025-07-03 14:07:26.500,0.184666666666667,137.915100097656,88.12702735024811,88.14614637364518
2025-07-03 14:07:27.000,0.184333333333333,137.914398193359,88.12400318680832,88.14608541685506
2025-07-03 14:07:27.500,0.1855,137.914001464844,88.12275225524455,88.14602407426247
2025-07-03 14:07:28.000,0.185,137.91340637207,88.12019451631488,88.14596289701379
