Capacity (mAh),Voltage (V)
0.0,4.113110539845758
6.8728522336769755,4.0681233933161955
13.745704467353951,4.0552699228791775
20.618556701030926,4.048843187660668
27.491408934707902,4.03598971722365
34.36426116838488,4.03598971722365
41.23711340206185,4.0295629820051415
48.10996563573883,4.023136246786632
54.982817869415804,4.023136246786632
61.85567010309278,4.0167095115681235
68.72852233676976,4.010282776349615
75.60137457044674,4.010282776349615
82.4742268041237,4.0038560411311055
89.34707903780068,4.0038560411311055
96.21993127147766,4.0038560411311055
103.09278350515463,3.9974293059125965
109.96563573883161,3.9910025706940875
116.83848797250859,3.9910025706940875
123.71134020618555,3.9910025706940875
130.58419243986253,3.9845758354755785
137.4570446735395,3.9845758354755785
144.3298969072165,3.9845758354755785
151.20274914089347,3.9845758354755785
158.07560137457043,3.9781491002570695
164.9484536082474,3.9781491002570695
171.82130584192439,3.9781491002570695
178.69415807560136,3.9781491002570695
185.56701030927834,3.9781491002570695
192.43986254295532,3.9717223650385605
199.31271477663228,3.9717223650385605
206.18556701030926,3.9717223650385605
213.05841924398624,3.9717223650385605
219.93127147766322,3.9652956298200515
226.8041237113402,3.9652956298200515
233.67697594501718,3.9652956298200515
240.54982817869416,3.9652956298200515
247.4226804123711,3.9652956298200515
254.2955326460481,3.9652956298200515
261.16838487972507,3.9652956298200515
268.041237113402,3.9652956298200515
274.914089347079,3.9652956298200515
281.786941580756,3.9588688946015425
288.659793814433,3.9588688946015425
295.53264604810994,3.9588688946015425
302.40549828178695,3.9524421593830334
309.2783505154639,3.9524421593830334
316.15120274914085,3.9524421593830334
323.02405498281786,3.9524421593830334
329.8969072164948,3.9524421593830334
336.7697594501718,3.9524421593830334
343.64261168384877,3.9524421593830334
350.5154639175258,3.9524421593830334
357.38831615120273,3.9524421593830334
364.2611683848797,3.9524421593830334
371.1340206185567,3.9460154241645244
378.00687285223364,3.9460154241645244
384.87972508591065,3.9460154241645244
391.7525773195876,3.9395886889460154
398.62542955326455,3.9395886889460154
405.49828178694156,3.9395886889460154
412.3711340206185,3.9395886889460154
419.2439862542955,3.9395886889460154
426.1168384879725,3.9395886889460154
432.9896907216495,3.9395886889460154
439.86254295532643,3.9395886889460154
446.7353951890034,3.9395886889460154
453.6082474226804,3.9331619537275064
460.48109965635734,3.9331619537275064
467.35395189003435,3.9331619537275064
474.2268041237113,3.9267352185089974
481.0996563573883,3.9267352185089974
487.97250859106526,3.9267352185089974
494.8453608247422,3.9267352185089974
501.7182130584192,3.9267352185089974
508.5910652920962,3.9267352185089974
515.4639175257731,3.9267352185089974
522.3367697594501,3.9267352185089974
529.2096219931271,3.9203084832904884
536.082474226804,3.9203084832904884
542.955326460481,3.9203084832904884
549.828178694158,3.9138817480719794
556.7010309278351,3.9138817480719794
563.573883161512,3.9138817480719794
570.446735395189,3.9138817480719794
577.319587628866,3.9138817480719794
584.1924398625429,3.9138817480719794
591.0652920962199,3.9138817480719794
597.9381443298969,3.9074550128534704
604.8109965635739,3.9074550128534704
611.6838487972508,3.9010282776349614
618.5567010309278,3.9010282776349614
625.4295532646048,3.9010282776349614
632.3024054982817,3.9010282776349614
639.1752577319587,3.9010282776349614
646.0481099656357,3.9010282776349614
652.9209621993127,3.8946015424164524
659.7938144329896,3.8946015424164524
666.6666666666666,3.8946015424164524
673.5395189003436,3.8881748071979434
680.4123711340205,3.8881748071979434
687.2852233676975,3.8881748071979434
694.1580756013745,3.8881748071979434
701.0309278350516,3.8817480719794344
707.9037800687285,3.8817480719794344
714.7766323024055,3.8753213367609254
721.6494845360825,3.8753213367609254
728.5223367697594,3.8753213367609254
735.3951890034364,3.8753213367609254
742.2680412371134,3.8688946015424164
749.1408934707903,3.8624678663239074
756.0137457044673,3.8624678663239074
762.8865979381443,3.8624678663239074
769.7594501718213,3.8624678663239074
776.6323024054982,3.8560411311053984
783.5051546391752,3.8496143958868894
790.3780068728522,3.8496143958868894
797.2508591065291,3.8496143958868894
804.1237113402061,3.8496143958868894
810.9965635738831,3.8431876606683804
817.8694158075601,3.836760925449872
824.742268041237,3.836760925449872
831.615120274914,3.836760925449872
838.487972508591,3.836760925449872
845.3608247422679,3.830334190231363
852.233676975945,3.830334190231363
859.106529209622,3.823907455012854
865.979381443299,3.823907455012854
872.8522336769759,3.823907455012854
879.7250859106529,3.817480719794345
886.5979381443299,3.817480719794345
893.4707903780068,3.8110539845758358
900.3436426116838,3.8110539845758358
907.2164948453608,3.8110539845758358
914.0893470790378,3.8110539845758358
920.9621993127147,3.8046272493573268
927.8350515463917,3.7982005141388178
934.7079037800687,3.7982005141388178
941.5807560137456,3.7982005141388178
948.4536082474226,3.7982005141388178
955.3264604810996,3.7982005141388178
962.1993127147766,3.7917737789203088
969.0721649484535,3.7917737789203088
975.9450171821305,3.7853470437017998
982.8178694158075,3.7853470437017998
989.6907216494844,3.7853470437017998
996.5635738831614,3.7853470437017998
1003.4364261168384,3.7853470437017998
1010.3092783505155,3.7789203084832907
1017.1821305841924,3.7789203084832907
1024.0549828178694,3.7724935732647817
1030.9278350515463,3.7724935732647817
1037.8006872852234,3.7724935732647817
1044.6735395189003,3.7724935732647817
1051.5463917525772,3.7724935732647817
1058.4192439862543,3.7660668380462727
1065.2920962199312,3.7660668380462727
1072.164948453608,3.7596401028277637
1079.0378006872852,3.7596401028277637
1085.910652920962,3.7596401028277637
1092.7835051546392,3.7596401028277637
1099.656357388316,3.7596401028277637
1106.529209621993,3.7596401028277637
1113.4020618556701,3.7596401028277637
1120.274914089347,3.7532133676092547
1127.147766323024,3.7467866323907457
