Capacity (mAh),Voltage (V),State of Charge
0.0,4.113110539845758,1.0
6.872852233676976,4.068123393316196,0.9980363279332352
13.745704467353953,4.0552699228791775,0.9960726558664703
20.61855670103093,4.048843187660668,0.9941089837997055
27.491408934707906,4.03598971722365,0.9921453117329406
34.36426116838488,4.03598971722365,0.9901816396661758
41.23711340206185,4.0295629820051415,0.9882179675994109
48.10996563573883,4.023136246786632,0.9862542955326461
54.98281786941581,4.023136246786632,0.9842906234658813
61.85567010309278,4.016709511568124,0.9823269513991163
68.72852233676976,4.010282776349615,0.9803632793323515
75.60137457044674,4.010282776349615,0.9783996072655866
82.4742268041237,4.0038560411311055,0.9764359351988218
89.34707903780068,4.0038560411311055,0.9744722631320569
96.21993127147766,4.0038560411311055,0.9725085910652921
103.09278350515464,3.997429305912597,0.9705449189985272
109.9656357388316,3.991002570694088,0.9685812469317624
116.8384879725086,3.991002570694088,0.9666175748649976
123.71134020618555,3.991002570694088,0.9646539027982327
130.58419243986253,3.9845758354755785,0.9626902307314679
137.4570446735395,3.9845758354755785,0.960726558664703
144.3298969072165,3.9845758354755785,0.9587628865979382
151.20274914089347,3.9845758354755785,0.9567992145311733
158.07560137457045,3.9781491002570695,0.9548355424644085
164.9484536082474,3.9781491002570695,0.9528718703976436
171.8213058419244,3.9781491002570695,0.9509081983308787
178.69415807560136,3.9781491002570695,0.9489445262641139
185.56701030927837,3.9781491002570695,0.946980854197349
192.43986254295527,3.971722365038561,0.9450171821305842
199.31271477663228,3.971722365038561,0.9430535100638193
206.18556701030928,3.971722365038561,0.9410898379970545
213.05841924398624,3.971722365038561,0.9391261659302896
219.9312714776632,3.965295629820052,0.9371624938635248
226.8041237113402,3.965295629820052,0.93519882179676
233.6769759450172,3.965295629820052,0.9332351497299951
240.54982817869416,3.965295629820052,0.9312714776632303
247.4226804123711,3.965295629820052,0.9293078055964654
254.2955326460481,3.965295629820052,0.9273441335297006
261.16838487972507,3.965295629820052,0.9253804614629357
268.041237113402,3.965295629820052,0.9234167893961709
274.914089347079,3.965295629820052,0.921453117329406
281.786941580756,3.9588688946015433,0.9194894452626412
288.659793814433,3.9588688946015433,0.9175257731958762
295.53264604810994,3.9588688946015433,0.9155621011291114
302.40549828178695,3.9524421593830334,0.9135984290623466
309.2783505154639,3.9524421593830334,0.9116347569955817
316.15120274914085,3.9524421593830334,0.9096710849288169
323.02405498281786,3.9524421593830334,0.907707412862052
329.8969072164948,3.9524421593830334,0.9057437407952872
336.7697594501718,3.9524421593830334,0.9037800687285223
343.6426116838488,3.9524421593830334,0.9018163966617575
350.5154639175258,3.9524421593830334,0.8998527245949927
357.3883161512028,3.9524421593830334,0.8978890525282278
364.2611683848797,3.9524421593830334,0.895925380461463
371.1340206185567,3.946015424164525,0.8939617083946981
378.0068728522336,3.946015424164525,0.8919980363279333
384.87972508591065,3.946015424164525,0.8900343642611683
391.7525773195876,3.939588688946016,0.8880706921944035
398.62542955326455,3.939588688946016,0.8861070201276386
405.4982817869416,3.939588688946016,0.8841433480608738
412.3711340206185,3.939588688946016,0.882179675994109
419.2439862542955,3.939588688946016,0.8802160039273441
426.1168384879725,3.939588688946016,0.8782523318605793
432.9896907216495,3.939588688946016,0.8762886597938144
439.8625429553264,3.939588688946016,0.8743249877270496
446.7353951890034,3.939588688946016,0.8723613156602847
453.6082474226804,3.9331619537275055,0.8703976435935199
460.4810996563573,3.9331619537275055,0.868433971526755
467.3539518900344,3.9331619537275055,0.8664702994599902
474.2268041237113,3.926735218508997,0.8645066273932254
481.0996563573883,3.926735218508997,0.8625429553264605
487.97250859106526,3.926735218508997,0.8605792832596957
494.8453608247422,3.926735218508997,0.8586156111929308
501.7182130584192,3.926735218508997,0.856651939126166
508.5910652920962,3.926735218508997,0.8546882670594012
515.4639175257731,3.926735218508997,0.8527245949926363
522.3367697594501,3.926735218508997,0.8507609229258714
529.2096219931271,3.920308483290488,0.8487972508591065
536.082474226804,3.920308483290488,0.8468335787923417
542.955326460481,3.920308483290488,0.8448699067255768
549.828178694158,3.9138817480719794,0.842906234658812
556.7010309278351,3.9138817480719794,0.8409425625920471
563.573883161512,3.9138817480719794,0.8389788905252823
570.446735395189,3.9138817480719794,0.8370152184585175
577.319587628866,3.9138817480719794,0.8350515463917526
584.1924398625429,3.9138817480719794,0.8330878743249878
591.0652920962199,3.9138817480719794,0.8311242022582229
597.9381443298969,3.9074550128534704,0.829160530191458
604.8109965635739,3.9074550128534704,0.8271968581246931
611.6838487972508,3.9010282776349614,0.8252331860579283
618.5567010309278,3.9010282776349614,0.8232695139911634
625.4295532646048,3.9010282776349614,0.8213058419243986
632.3024054982817,3.9010282776349614,0.8193421698576338
639.1752577319587,3.9010282776349614,0.8173784977908689
646.0481099656357,3.9010282776349614,0.8154148257241041
652.9209621993127,3.894601542416453,0.8134511536573392
659.7938144329896,3.894601542416453,0.8114874815905744
666.6666666666666,3.894601542416453,0.8095238095238095
673.5395189003436,3.888174807197944,0.8075601374570447
680.4123711340205,3.888174807197944,0.8055964653902798
687.2852233676975,3.888174807197944,0.803632793323515
694.1580756013745,3.888174807197944,0.8016691212567502
701.0309278350516,3.8817480719794335,0.7997054491899853
707.9037800687285,3.8817480719794335,0.7977417771232205
714.7766323024055,3.875321336760925,0.7957781050564556
721.6494845360825,3.875321336760925,0.7938144329896908
728.5223367697594,3.875321336760925,0.791850760922926
735.3951890034364,3.875321336760925,0.7898870888561611
742.2680412371134,3.868894601542416,0.7879234167893961
749.1408934707903,3.8624678663239074,0.7859597447226314
